lat_round,lon_round,count
41.749,-87.724,1
41.749,-87.715,1
41.749,-87.707,1
41.749,-87.702,1
41.749,-87.697,1
41.749,-87.696,1
41.749,-87.694,1
41.749,-87.671,1
41.749,-87.665,1
41.749,-87.661,1
41.749,-87.659,1
41.749,-87.654,1
41.749,-87.652,1
41.749,-87.649,1
41.749,-87.646,1
41.749,-87.624,2
41.749,-87.622,1
41.749,-87.616,1
41.749,-87.612,1
41.749,-87.61,1
41.749,-87.608,1
41.749,-87.607,1
41.749,-87.605,3
41.749,-87.603,1
41.749,-87.6,1
41.749,-87.595,1
41.749,-87.594,1
41.749,-87.587,1
41.749,-87.58,1
41.749,-87.571,1
41.749,-87.565,1
41.749,-87.558,1
41.749,-87.555,1
41.749,-87.554,1
41.749,-87.552,1
41.75,-87.721,1
41.75,-87.718,2
41.75,-87.71,1
41.75,-87.703,2
41.75,-87.689,1
41.75,-87.687,1
41.75,-87.684,1
41.75,-87.683,3
41.75,-87.681,1
41.75,-87.675,1
41.75,-87.674,2
41.75,-87.673,2
41.75,-87.671,2
41.75,-87.667,4
41.75,-87.666,9
41.75,-87.665,6
41.75,-87.664,3
41.75,-87.663,11
41.75,-87.662,2
41.75,-87.661,1
41.75,-87.659,1
41.75,-87.658,1
41.75,-87.656,3
41.75,-87.654,2
41.75,-87.653,1
41.75,-87.651,3
41.75,-87.649,2
41.75,-87.646,3
41.75,-87.644,12
41.75,-87.643,1
41.75,-87.642,1
41.75,-87.639,1
41.75,-87.634,1
41.75,-87.633,1
41.75,-87.632,1
41.75,-87.629,2
41.75,-87.625,2
41.75,-87.62,1
41.75,-87.615,1
41.75,-87.614,1
41.75,-87.612,1
41.75,-87.61,1
41.75,-87.605,1
41.75,-87.601,1
41.75,-87.6,3
41.75,-87.595,1
41.75,-87.586,1
41.75,-87.57,1
41.75,-87.568,1
41.75,-87.566,1
41.75,-87.564,1
41.75,-87.56,1
41.75,-87.559,1
41.75,-87.554,2
41.751,-87.732,1
41.751,-87.71,1
41.751,-87.704,1
41.751,-87.683,8
41.751,-87.682,1
41.751,-87.676,1
41.751,-87.671,1
41.751,-87.663,2
41.751,-87.654,1
41.751,-87.651,1
41.751,-87.649,3
41.751,-87.647,1
41.751,-87.645,1
41.751,-87.644,2
41.751,-87.643,1
41.751,-87.642,1
41.751,-87.638,1
41.751,-87.635,1
41.751,-87.634,7
41.751,-87.631,1
41.751,-87.63,1
41.751,-87.629,1
41.751,-87.628,2
41.751,-87.626,5
41.751,-87.625,18
41.751,-87.624,1
41.751,-87.623,2
41.751,-87.622,1
41.751,-87.621,4
41.751,-87.617,1
41.751,-87.616,1
41.751,-87.615,6
41.751,-87.614,4
41.751,-87.613,1
41.751,-87.612,8
41.751,-87.611,1
41.751,-87.61,2
41.751,-87.609,2
41.751,-87.607,1
41.751,-87.606,3
41.751,-87.605,15
41.751,-87.604,2
41.751,-87.602,2
41.751,-87.6,1
41.751,-87.595,1
41.751,-87.586,2
41.751,-87.582,2
41.751,-87.576,5
41.751,-87.571,3
41.751,-87.57,1
41.751,-87.569,2
41.751,-87.566,2
41.751,-87.565,1
41.751,-87.564,1
41.751,-87.563,1
41.751,-87.561,2
41.751,-87.56,1
41.751,-87.559,1
41.751,-87.558,1
41.751,-87.555,1
41.751,-87.554,1
41.751,-87.553,6
41.752,-87.666,4
41.752,-87.665,3
41.752,-87.663,1
41.752,-87.662,1
41.752,-87.659,1
41.752,-87.657,3
41.752,-87.654,3
41.752,-87.65,1
41.752,-87.649,1
41.752,-87.644,1
41.752,-87.637,1
41.752,-87.634,1
41.752,-87.621,1
41.752,-87.618,1
41.752,-87.605,1
41.752,-87.604,2
41.752,-87.599,1
41.752,-87.594,1
41.752,-87.584,1
41.752,-87.583,1
41.752,-87.582,1
41.752,-87.578,1
41.752,-87.577,1
41.752,-87.575,2
41.752,-87.567,1
41.752,-87.566,1
41.752,-87.563,2
41.752,-87.562,2
41.752,-87.56,2
41.752,-87.559,1
41.752,-87.557,1
41.752,-87.551,1
41.752,-87.548,2
41.753,-87.723,2
41.753,-87.707,2
41.753,-87.704,1
41.753,-87.702,2
41.753,-87.664,1
